id	label
PLRB	Acidimicrobiaceae bacterium isolate bog_773 73.20120700_S1X.26_contig_10033
PLRC	Solibacterales bacterium isolate bog_380 73.20120700_S1X.25_contig_10021
PLRE	Acidimicrobiaceae bacterium isolate bog_774 73.20120700_S1X.2_contig_10138
PLRF	Acidobacteriaceae bacterium isolate bog_378 73.20120700_S1X.19_contig_10019
PLRH	Acidimicrobiaceae bacterium isolate bog_771 73.20120700_S1X.13_contig_10
PLRG	Acidimicrobiaceae bacterium isolate bog_772 73.20120700_S1X.18_contig_10260
PLQK	Acidimicrobiaceae bacterium isolate bog_783 73.20120700_S2S.4_contig_1011
PLRI	Acidimicrobiaceae bacterium isolate bog_770 73.20120700_S1S.7_contig_100
PLQM	Acidobacteriaceae bacterium isolate bog_385 73.20120700_S2M.2_contig_1000
PLQS	Acidimicrobiaceae bacterium isolate bog_777 73.20120700_S2D.13_contig_1003
PLQT	Verrucomicrobia subdivision 3 bacterium isolate bog_1459 73.20120700_S2D.12_contig_1000
PLQU	Acidobacteriaceae bacterium isolate bog_383 73.20120700_S2D.11_contig_1
PLQV	Euryarchaeota archaeon isolate bog_73 73.20120700_S1X.9_contig_10409
PLRD	Acidobacteriaceae bacterium isolate bog_379 73.20120700_S1X.20_contig_103
PMLW	Ignavibacteriae bacterium isolate fen_1283 73.20120700_E2X.174_contig_1002658
PMLV	Acidimicrobiaceae bacterium isolate palsa_740 73.20120700_P3D.127_contig_10004
PMLX	Holophagaceae bacterium isolate fen_305 73.20120600_E3D.97_contig_1011129
PMJZ	Acidimicrobiaceae bacterium isolate fen_677 73.20120600_E2D.19_contig_1012555
PMDH	Myxococcales bacterium isolate fen_1134 73.20120700_E2X.34_contig_100340
PMDI	Opitutae bacterium isolate fen_1436 73.20120700_E2X.31_contig_101644
PMPU	Solibacterales bacterium isolate bog_104 73.20110600_S1M.4_contig_1
PMPR	Acidimicrobiaceae bacterium isolate bog_472 73.20110600_S1M.3_contig_100939
PMPS	Mycobacterium sp. isolate bog_471 73.20110600_S1M.31_contig_10004
PMPT	Methylocystaceae bacterium isolate bog_882 73.20110600_S1M.35_contig_100022
PMPL	Acidobacteriaceae bacterium isolate bog_100 73.20110600_S1D.4_contig_10041
PMPQ	Acidimicrobiaceae bacterium isolate bog_470 73.20110600_S1M.14_contig_1010
PMPO	Acidobacteriaceae bacterium isolate bog_102 73.20110600_S1M.12_contig_101397
PMPN	Acidimicrobiaceae bacterium isolate bog_469 73.20110600_S1D.6_contig_10084
PMPK	Granulicella sp. isolate bog_99 73.20110600_S1D.37_contig_1003
PMPH	Acidobacteriaceae bacterium isolate bog_96 73.20110600_S1D.24_contig_10110
PMPG	Granulicella sp. isolate bog_95 73.20110600_S1D.22_contig_10003
PMPE	Acidimicrobiaceae bacterium isolate bog_468 73.20110600_S1D.2_contig_1000
PMPC	Acidobacteriaceae bacterium isolate bog_93 73.20110600_S1D.17_contig_1008
PMPB	Acidimicrobiaceae bacterium isolate bog_466 73.20110600_S1D.14_contig_100249
PMPA	Candidate division AD3 bacterium isolate bog_835 73.20110600_S1D.13_contig_10030
PMOW	Actinobacteria bacterium isolate palsa_463 73.20110600_P3S.3_contig_10090
PMOV	Acidobacteria bacterium isolate palsa_91 73.20110600_P3S.23_contig_100030
PMOU	Actinobacteria bacterium isolate palsa_462 73.20110600_P3S.21_contig_100902
PMOR	Gammaproteobacteria bacterium isolate palsa_1194 73.20110600_P1M.6_contig_10065
PMOQ	Acidimicrobiaceae bacterium isolate palsa_461 73.20110600_P1M.5_contig_10006
PMOO	Acidimicrobiaceae bacterium isolate palsa_460 73.20110600_P1M.45_contig_100744
PMPP	Verrucomicrobia subdivision 3 bacterium isolate bog_1374 73.20110600_S1M.13_contig_1009
PMPM	Solibacterales bacterium isolate bog_101 73.20110600_S1D.5_contig_10001
PMPJ	Verrucomicrobiales bacterium isolate bog_1373 73.20110600_S1D.32_contig_100392
PMPD	Acidobacteriaceae bacterium isolate bog_94 73.20110600_S1D.18_contig_10021
PMPI	Granulicella sp. isolate bog_97 73.20110600_S1D.26_contig_10018
PMPF	Acidimicrobiaceae bacterium isolate bog_467 73.20110600_S1D.20_contig_100471
PMOZ	Verrucomicrobia subdivision 3 bacterium isolate bog_1372 73.20110600_S1D.10_contig_10120
PMOS	Candidate division WPS-2 bacterium isolate palsa_1479 73.20110600_P1M.7_contig_1057
PMOX	Solirubrobacterales bacterium isolate palsa_464 73.20110600_P3S.5_contig_10050
PMOT	Acidobacteriaceae bacterium isolate palsa_92 73.20110600_P3S.2_contig_1002
PMOP	Acidobacteria bacterium isolate palsa_90 73.20110600_P1M.47_contig_100824
PMOH	Deltaproteobacteria bacterium isolate palsa_1089 73.20110600_P1M.15_contig_10001
PMOM	Caulobacteraceae bacterium isolate palsa_881 73.20110600_P1M.35_contig_100319
PMOG	Candidate division WPS-2 bacterium isolate palsa_1478 73.20110600_P1M.14_contig_10022
PMOE	Acidimicrobiaceae bacterium isolate palsa_457 73.20110600_P1M.11_contig_10005
PMOC	Acidobacteriaceae bacterium isolate palsa_86 73.20110600_P1D.4_contig_10020
PMOB	Actinobacteria bacterium isolate palsa_456 73.20110600_P1D.32_contig_1101
PMOA	Verrucomicrobia subdivision 3 bacterium isolate palsa_1371 73.20110600_P1D.3_contig_10089
PMNZ	Candidate division WPS-2 bacterium isolate palsa_1477 73.20110600_P1D.1_contig_100
PMNX	Euryarchaeota archaeon isolate fen_13 73.20110600_E3M.1_contig_10314
PMNY	Nitrospiraceae bacterium isolate fen_1305 73.20110600_E3S.10_contig_10055
PMNW	Acidimicrobiaceae bacterium isolate fen_455 73.20110600_E3D.7_contig_1007
PMNV	Euryarchaeota archaeon isolate fen_12 73.20110600_E3D.1_contig_102819
PMNP	Ignavibacteriae bacterium isolate fen_1262 73.20100900_E3S.14_contig_100048
PMNT	Acidimicrobiaceae bacterium isolate fen_454 73.20110600_E2D.10_contig_10061
PMNR	Euryarchaeota archaeon isolate fen_10 73.20110600_E1D.1_contig_100076
PMNN	Methanobacterium sp. isolate fen_9 73.20100900_E3D.91_contig_100747
PMNO	Myxococcales bacterium isolate fen_1088 73.20100900_E3S.13_contig_10020
PMNM	Syntrophaceae bacterium isolate fen_1087 73.20100900_E3D.6_contig_1010
PMNL	Methanobacterium sp. isolate fen_8 73.20100900_E3D.53_contig_10556
PMNI	Bacteroidales bacterium isolate fen_945 73.20100900_E3D.41_contig_10073
PMNH	Ignavibacteriae bacterium isolate fen_1261 73.20100900_E3D.40_contig_10053
PMNF	Myxococcales bacterium isolate fen_1086 73.20100900_E3D.24_contig_10021
PMND	Ignavibacteriae bacterium isolate fen_1259 73.20100900_E3D.21_contig_10303
PMNC	Myxococcales bacterium isolate fen_1085 73.20100900_E3D.20_contig_10003
PMNB	Dehalococcoidia bacterium isolate fen_1017 73.20100900_E3D.17_contig_10158
PMMX	Melioribacter sp. isolate fen_1258 73.20100900_E2S.12_contig_10018
PMMW	Syntrophaceae bacterium isolate fen_1084 73.20100900_E2D.5_contig_10036
PMNA	Actinobacteria bacterium isolate fen_453 73.20100900_E3D.15_contig_1008
PMMZ	Euryarchaeota archaeon isolate fen_6 73.20100900_E3D.1_contig_10
PMMU	Myxococcales bacterium isolate fen_1083 73.20100900_E2D.14_contig_10037
PMMV	Methanobacterium sp. isolate fen_4 73.20100900_E2D.36_contig_1008
PMMS	Actinobacteria bacterium isolate fen_452 73.20100900_E2D.10_contig_10086
PMMQ	Nitrospiraceae bacterium isolate fen_1304 73.20100900_E1S.8_contig_1002
PMMR	Euryarchaeota archaeon isolate fen_3 73.20100900_E2D.1_contig_101
PMMP	Euryarchaeota archaeon isolate fen_2 73.20100900_E1S.1_contig_101952
PMMO	Ignavibacteriae bacterium isolate fen_1255 73.20100900_E1D.85_contig_100183
PMMN	Actinobacteria bacterium isolate fen_451 73.20100900_E1D.68_contig_10363
PMMM	Phycisphaerales bacterium isolate fen_1342 73.20100900_E1D.52_contig_10050
PMMJ	Acidobacteriaceae bacterium isolate fen_85 73.20100900_E1D.30_contig_100081
PMMI	Ignavibacteriae bacterium isolate fen_1253 73.20100900_E1D.29_contig_10097
PMMH	Acidimicrobiaceae bacterium isolate fen_450 73.20100900_E1D.19_contig_10257
PMMG	Dehalococcoidia bacterium isolate fen_1014 73.20100900_E1D.16_contig_1019
PMMF	Actinobacteria bacterium isolate fen_449 73.20100900_E1D.14_contig_10406
PMMD	Nitrospiraceae bacterium isolate fen_1303 73.20100900_E1D.12_contig_100605
PMON	Acidimicrobiaceae bacterium isolate palsa_459 73.20110600_P1M.36_contig_10274
PMOL	Candidate division AD3 bacterium isolate palsa_834 73.20110600_P1M.3_contig_1
PMOK	Solibacterales bacterium isolate palsa_89 73.20110600_P1M.2_contig_1004
PMOJ	Gammaproteobacteria bacterium isolate palsa_1192 73.20110600_P1M.19_contig_10018
PMOI	Acidimicrobiaceae bacterium isolate palsa_458 73.20110600_P1M.18_contig_1051
PMOF	Acidobacteriaceae bacterium isolate palsa_87 73.20110600_P1M.13_contig_101705
PMOD	Acidobacteriaceae bacterium isolate palsa_88 73.20110600_P1M.1_contig_100128
PMNS	Euryarchaeota archaeon isolate fen_11 73.20110600_E2D.1_contig_1
PMNQ	Gammaproteobacteria bacterium isolate fen_1191 73.20100900_E3S.15_contig_10085
PMNK	Chloroflexi bacterium isolate fen_1018 73.20100900_E3D.5_contig_103
PMNJ	Bacteroidales bacterium isolate fen_946 73.20100900_E3D.43_contig_10004
PMNG	Methanothrix sp. isolate fen_7 73.20100900_E3D.38_contig_10074
PMNE	Ignavibacteriae bacterium isolate fen_1260 73.20100900_E3D.23_contig_101436
PMMY	Methanobacterium sp. isolate fen_5 73.20100900_E2S.9_contig_10080
PMMT	Dehalococcoidia bacterium isolate fen_1016 73.20100900_E2D.12_contig_10172
PMML	Ignavibacteriae bacterium isolate fen_1254 73.20100900_E1D.45_contig_1001
PMMK	Chloroflexi bacterium isolate fen_1015 73.20100900_E1D.4_contig_1011
PMME	Myxococcales bacterium isolate fen_1082 73.20100900_E1D.13_contig_100299
PMMC	Euryarchaeota archaeon isolate fen_1 73.20100900_E1D.1_contig_10075
PLUN	Acidimicrobiaceae bacterium isolate bog_833 73.20120800_S3X.9_contig_10051
PLUP	Solibacterales bacterium isolate bog_447 73.20120800_S3X.6_contig_1028
PLUQ	Acidimicrobiaceae bacterium isolate bog_832 73.20120800_S3X.4_contig_10400
PLUR	Acidimicrobiaceae bacterium isolate bog_831 73.20120800_S3X.31_contig_10078
PLUS	Granulicella sp. isolate bog_446 73.20120800_S3X.25_contig_1005
PLUT	Granulicella sp. isolate bog_445 73.20120800_S3X.20_contig_10064
PLUU	Acidobacteriaceae bacterium isolate bog_444 73.20120800_S3X.17_contig_1000
PLUV	Verrucomicrobia subdivision 3 bacterium isolate bog_1475 73.20120800_S3S.2_contig_1
PLUW	Acidobacteriaceae bacterium isolate bog_443 73.20120800_S3M.8_contig_1007
PLUX	Acidimicrobiaceae bacterium isolate bog_830 73.20120800_S3M.6_contig_1004
PLUY	Acidimicrobiaceae bacterium isolate bog_829 73.20120800_S3M.5_contig_129
PLUZ	Methylocapsa sp. isolate bog_942 73.20120800_S3M.30_contig_10081
PLVB	Acidimicrobiaceae bacterium isolate bog_828 73.20120800_S3M.10_contig_10493
PLVC	Acidimicrobiaceae bacterium isolate bog_827 73.20120800_S3D.5_contig_10049
PLVD	Solibacterales bacterium isolate bog_441 73.20120800_S3D.4_contig_1000
PLVE	Acidimicrobiaceae bacterium isolate bog_826 73.20120800_S3D.3_contig_1016
PLVG	Acidimicrobiaceae bacterium isolate bog_825 73.20120800_S3D.15_contig_110
PLVH	Verrucomicrobia subdivision 3 bacterium isolate bog_1474 73.20120800_S3D.12_contig_10003
PLVK	Solibacterales bacterium isolate bog_438 73.20120800_S2X.3_contig_10013
PLVL	Solibacterales bacterium isolate bog_437 73.20120800_S2X.23_contig_10002
PLVM	Acidobacteriaceae bacterium isolate bog_436 73.20120800_S2X.20_contig_1
PLVN	Acidobacteriaceae bacterium isolate bog_435 73.20120800_S2X.18_contig_1002
PLVO	Acidimicrobiaceae bacterium isolate bog_824 73.20120800_S2X.17_contig_10212
PLVP	Acidobacteriaceae bacterium isolate bog_434 73.20120800_S2X.13_contig_10112
PLVS	Candidate division FCPU426 bacterium isolate bog_1183 73.20120800_S2S.11_contig_1042
PLVQ	Acidimicrobiaceae bacterium isolate bog_823 73.20120800_S2X.11_contig_10281
PLVR	Acidimicrobiaceae bacterium isolate bog_822 73.20120800_S2S.3_contig_1024
PLVU	Verrucomicrobia subdivision 3 bacterium isolate bog_1473 73.20120800_S2M.9_contig_10012
PLVW	Acidimicrobiaceae bacterium isolate bog_820 73.20120800_S2D.8_contig_1019
PLVZ	Acidimicrobiaceae bacterium isolate bog_817 73.20120800_S2D.3_contig_1181
PLWA	Bacteroidetes bacterium isolate bog_985 73.20120800_S2D.22_contig_10108
PLWH	Acidimicrobiaceae bacterium isolate bog_815 73.20120800_S1X.2_contig_10340
PLWD	Verrucomicrobia bacterium isolate bog_1472 73.20120800_S1X.44_contig_10044
PLWE	Solibacterales bacterium isolate bog_431 73.20120800_S1X.4_contig_10064
PLWI	Euryarchaeota archaeon isolate bog_83 73.20120800_S1X.13_contig_10022
PLWJ	Gammaproteobacteria bacterium isolate bog_1228 73.20120800_S1S.9_contig_10079
PLWL	Acidimicrobiaceae bacterium isolate bog_813 73.20120800_S1S.6_contig_1005
PLUO	Acidobacteriaceae bacterium isolate bog_448 73.20120800_S3X.8_contig_10159
PLVA	Solibacterales bacterium isolate bog_442 73.20120800_S3M.3_contig_1000
PLVF	Methylocystaceae bacterium isolate bog_941 73.20120800_S3D.23_contig_10013
PLVI	Acidobacteriaceae bacterium isolate bog_440 73.20120800_S3D.11_contig_10149
PLVJ	Euryarchaeota archaeon isolate bog_84 73.20120800_S2X.9_contig_10056
PLVV	Acidobacteriaceae bacterium isolate bog_433 73.20120800_S2M.12_contig_10038
PLVT	Acidimicrobiaceae bacterium isolate bog_821 73.20120800_S2S.1_contig_1022
PLVX	Acidimicrobiaceae bacterium isolate bog_819 73.20120800_S2D.6_contig_10248
PLVY	Acidimicrobiaceae bacterium isolate bog_818 73.20120800_S2D.4_contig_10111
PLWB	Acidimicrobiaceae bacterium isolate bog_816 73.20120800_S2D.13_contig_1020
PLWC	Acidobacteriaceae bacterium isolate bog_432 73.20120800_S2D.10_contig_1004
PLWF	Acidobacteriaceae bacterium isolate bog_430 73.20120800_S1X.37_contig_1
PLWG	Syntrophaceae bacterium isolate bog_1172 73.20120800_S1X.28_contig_10268
PLWK	Acidimicrobiaceae bacterium isolate bog_814 73.20120800_S1S.7_contig_1027
PLWM	Acidimicrobiaceae bacterium isolate bog_812 73.20120800_S1M.6_contig_10193
PLWO	Gammaproteobacteria bacterium isolate bog_1227 73.20120800_S1M.32_contig_10108
PLWN	Solibacterales bacterium isolate bog_429 73.20120800_S1M.4_contig_10063
PLRJ	Solibacterales bacterium isolate bog_377 73.20120700_S1S.22_contig_10139
PLRK	Acidimicrobiaceae bacterium isolate bog_769 73.20120700_S1S.21_contig_10038
PLRM	Acidimicrobiaceae bacterium isolate bog_768 73.20120700_S1S.12_contig_10005
PLRL	Verrucomicrobia subdivision 3 bacterium isolate bog_1458 73.20120700_S1S.19_contig_10031
PLRN	Acidimicrobiaceae bacterium isolate bog_767 73.20120700_S1S.10_contig_101129
PLRO	Candidate division WPS-2 bacterium isolate bog_1527 73.20120700_S1M.8_contig_1005
PLRP	Acidimicrobiaceae bacterium isolate bog_766 73.20120700_S1M.3_contig_1021
PLRQ	Acidobacteriaceae bacterium isolate bog_376 73.20120700_S1M.2_contig_10120
PLRR	Acidimicrobiaceae bacterium isolate bog_765 73.20120700_S1M.1_contig_1058
PLRS	Solibacterales bacterium isolate bog_375 73.20120700_S1D.97_contig_10531
PLRU	Candidate division WPS-2 bacterium isolate bog_1526 73.20120700_S1D.95_contig_10003
PLRZ	Solibacterales bacterium isolate bog_374 73.20120700_S1D.72_contig_100047
PLRX	Acidimicrobiaceae bacterium isolate bog_763 73.20120700_S1D.86_contig_101142
PLSC	Acidimicrobiaceae bacterium isolate bog_762 73.20120700_S1D.6_contig_1000
PLSD	Acetobacteraceae bacterium isolate bog_937 73.20120700_S1D.55_contig_101233
PLSG	Parachlamydiaceae bacterium isolate bog_1457 73.20120700_S1D.416_contig_1001588
PLSL	Acetobacteraceae bacterium isolate bog_936 73.20120700_S1D.371_contig_1004913
PLSI	Acidimicrobiaceae bacterium isolate bog_761 73.20120700_S1D.4_contig_10116
PLSR	Candidatus Kaiserbacteria bacterium isolate bog_1339 73.20120700_S1D.328_contig_106689
PLSS	Acidimicrobiaceae bacterium isolate bog_757 73.20120700_S1D.32_contig_10156
PLST	Acidobacteriaceae bacterium isolate bog_368 73.20120700_S1D.31_contig_100096
PLSY	Acidimicrobiaceae bacterium isolate bog_756 73.20120700_S1D.262_contig_1007605
PLTA	Candidatus Bathyarchaeota archaeon isolate bog_990 73.20120700_S1D.254_contig_1082413
PLSZ	Acetobacteraceae bacterium isolate bog_934 73.20120700_S1D.260_contig_1009283
PLTF	Fibrobacteres bacterium isolate bog_1184 73.20120700_S1D.234_contig_10233
PLTB	Acidimicrobiaceae bacterium isolate bog_755 73.20120700_S1D.25_contig_1017
PLTE	Rhizobiales bacterium isolate bog_931 73.20120700_S1D.242_contig_100892
PLTH	Verrucomicrobiales bacterium isolate bog_1456 73.20120700_S1D.218_contig_100320
PLTK	Methanobacterium sp. isolate bog_71 73.20120700_S1D.206_contig_1006759
PLTI	Acidimicrobiaceae bacterium isolate bog_754 73.20120700_S1D.21_contig_102484
PLTJ	Acetobacteraceae bacterium isolate bog_930 73.20120700_S1D.208_contig_100959
PLTL	Candidate division AD3 bacterium isolate bog_877 73.20120700_S1D.200_contig_1006994
PLTN	Candidate division WPS-2 bacterium isolate bog_1524 73.20120700_S1D.184_contig_100082
PLTP	Verrucomicrobia subdivision 3 bacterium isolate bog_1454 73.20120700_S1D.182_contig_100546
PLTO	Verrucomicrobia subdivision 3 bacterium isolate bog_1455 73.20120700_S1D.183_contig_10039
PLTQ	Candidate division AD3 bacterium isolate bog_876 73.20120700_S1D.18_contig_106739
PLTR	Verrucomicrobiales bacterium isolate bog_1453 73.20120700_S1D.154_contig_100386
PLTT	Candidatus Saccharibacteria bacterium isolate bog_1338 73.20120700_S1D.140_contig_107344
PLTU	Acidobacteriaceae bacterium isolate bog_365 73.20120700_S1D.14_contig_10088
PLTV	Acidobacteriaceae bacterium isolate bog_364 73.20120700_S1D.133_contig_101160
PLTW	Actinobacteria bacterium isolate bog_752 73.20120700_S1D.129_contig_102770
PLTX	Verrucomicrobia bacterium isolate bog_1451 73.20120700_S1D.122_contig_102829
PLTY	Verrucomicrobia subdivision 3 bacterium isolate bog_1450 73.20120700_S1D.121_contig_100804
PLTZ	Opitutaceae bacterium isolate bog_1449 73.20120700_S1D.120_contig_105098
PLUA	Verrucomicrobia subdivision 3 bacterium isolate bog_1452 73.20120700_S1D.12_contig_102149
PLUB	Methanosarcina sp. isolate bog_70 73.20120700_S1D.117_contig_101590
PLUD	Methanobacterium sp. isolate bog_69 73.20120700_S1D.111_contig_100012
PLUE	Gammaproteobacteria bacterium isolate bog_1223 73.20120700_S1D.105_contig_103224
PLUF	Thaumarchaeota archaeon isolate bog_1369 73.20120700_S1D.104_contig_100221
PLUH	Rhizobiales bacterium isolate palsa_929 73.20120700_P3S.3_contig_10013
PLUI	Acidobacteriaceae bacterium isolate palsa_362 73.20120700_P3S.10_contig_10025
PLUK	Solirubrobacterales bacterium isolate palsa_751 73.20120700_P3M.3_contig_10322
PLUL	Bacteroidetes bacterium isolate palsa_971 73.20120700_P3D.99_contig_1039
PLRT	Rhizobiales bacterium isolate bog_939 73.20120700_S1D.96_contig_10016
PLRV	Caulobacteraceae bacterium isolate bog_938 73.20120700_S1D.89_contig_102031
PLRW	Actinobacteria bacterium isolate bog_764 73.20120700_S1D.88_contig_100720
PLRY	Gammaproteobacteria bacterium isolate bog_1224 73.20120700_S1D.81_contig_101322
PLSA	Candidate division WPS-2 bacterium isolate bog_1525 73.20120700_S1D.67_contig_102141
PLSB	Acidobacteriaceae bacterium isolate bog_373 73.20120700_S1D.65_contig_100647
PLSE	Acidobacteriaceae bacterium isolate bog_372 73.20120700_S1D.48_contig_102017
PLSF	Syntrophaceae bacterium isolate bog_1156 73.20120700_S1D.47_contig_100324
PLSM	Acidobacteriaceae bacterium isolate bog_370 73.20120700_S1D.36_contig_100152
PLSH	Acidobacteriaceae bacterium isolate bog_371 73.20120700_S1D.41_contig_100345
PLSJ	Syntrophaceae bacterium isolate bog_1155 73.20120700_S1D.399_contig_1009800
PLSN	Bacteroidetes bacterium isolate bog_973 73.20120700_S1D.351_contig_1000177
PLSK	Mycobacterium sp. isolate bog_759 73.20120700_S1D.38_contig_100034
PLSO	Granulicella sp. isolate bog_369 73.20120700_S1D.35_contig_100085
PLSP	Candidatus Bathyarchaeota archaeon isolate bog_991 73.20120700_S1D.335_contig_1019248
PLSQ	Acidimicrobiaceae bacterium isolate bog_758 73.20120700_S1D.33_contig_100468
PLSV	Syntrophobacteraceae bacterium isolate bog_1154 73.20120700_S1D.281_contig_100108
PLSU	Acidimicrobiaceae bacterium isolate bog_760 73.20120700_S1D.3_contig_10115
PLSW	Caulobacteraceae bacterium isolate bog_935 73.20120700_S1D.278_contig_100780
PLTC	Rhodospirillales bacterium isolate bog_933 73.20120700_S1D.247_contig_100262
PLSX	Acidobacteria bacterium isolate bog_367 73.20120700_S1D.266_contig_10093
PLTD	Rhodospirillales bacterium isolate bog_932 73.20120700_S1D.243_contig_100059
PLTG	Candidatus Dependentiae bacterium isolate bog_1370 73.20120700_S1D.225_contig_105060
PLTM	Euryarchaeota archaeon isolate bog_72 73.20120700_S1D.20_contig_10032
PLTS	Acidimicrobiaceae bacterium isolate bog_753 73.20120700_S1D.15_contig_10155
PLUC	Holophagaceae bacterium isolate bog_363 73.20120700_S1D.116_contig_100818
PLUG	Bacteroidetes bacterium isolate bog_972 73.20120700_S1D.103_contig_101043
PLUJ	Acidobacteriaceae bacterium isolate palsa_361 73.20120700_P3M.9_contig_1004
PLUM	Acidobacteria bacterium isolate palsa_360 73.20120700_P3D.97_contig_100437
PMMB	Gammaproteobacteria bacterium isolate palsa_1193 73.20110600_P1M.4_contig_100751
PMMA	Chloroflexi bacterium isolate fen_1025 73.20110800_E1D.4_contig_10024
PMLZ	Acidobacteriaceae bacterium isolate palsa_127 73.20110700_P2D.4_contig_10068
PMLY	Acidobacteriaceae bacterium isolate bog_98 73.20110600_S1D.31_contig_10
PLWP	Acidobacteriaceae bacterium isolate bog_439 73.20120800_S2X.4_contig_10058
PLWQ	Fibrobacteres bacterium isolate fen_1185 73.20120800_E1D.40_contig_11353
PLWR	Acidobacteria bacterium isolate bog_366 73.20120700_S1D.223_contig_10014
PMOY	Solirubrobacterales bacterium isolate palsa_465 73.20110600_P3S.6_contig_1001
PMNU	Chloroflexi bacterium isolate fen_1019 73.20110600_E2D.3_contig_10318
PMXK	Acidimicrobiaceae bacterium isolate fen_543 73.20110800_E1D.16_contig_100211
PMXI	Acidobacteria bacterium isolate fen_175 73.20110800_E1D.14_contig_10502
PMXG	Acidimicrobiaceae bacterium isolate bog_542 73.20110700_S3M.92_contig_10045
PMXF	Acidobacteriaceae bacterium isolate bog_173 73.20110700_S3M.7_contig_10000
PMWY	Solibacterales bacterium isolate bog_171 73.20110700_S3M.4_contig_1
PMWW	Acidobacteriaceae bacterium isolate bog_169 73.20110700_S3M.38_contig_10225
PMWX	Syntrophaceae bacterium isolate bog_1094 73.20110700_S3M.39_contig_100031
PMXJ	Chloroflexi bacterium isolate fen_1022 73.20110800_E1D.15_contig_100252
PMXH	Acidobacteriaceae bacterium isolate bog_174 73.20110700_S3M.98_contig_10048
PMXE	Acidimicrobiaceae bacterium isolate bog_541 73.20110700_S3M.6_contig_10
PMXD	Bacteroidetes bacterium isolate bog_950 73.20110700_S3M.57_contig_10105
PMXC	Actinobacteria bacterium isolate bog_539 73.20110700_S3M.54_contig_10017
PMXB	Acidobacteriaceae bacterium isolate bog_172 73.20110700_S3M.50_contig_10072
PMXA	Acidimicrobiaceae bacterium isolate bog_540 73.20110700_S3M.5_contig_10438
PMWV	Mycobacterium sp. isolate bog_538 73.20110700_S3M.34_contig_10023
PMWZ	Granulicella sp. isolate bog_170 73.20110700_S3M.47_contig_10001
PMWU	Granulicella sp. isolate bog_168 73.20110700_S3M.31_contig_10326
PMWT	Acidimicrobiaceae bacterium isolate bog_536 73.20110700_S3M.29_contig_10069
PMWR	Acidobacteriaceae bacterium isolate bog_166 73.20110700_S3M.25_contig_1004
PMWP	Acidimicrobiaceae bacterium isolate bog_535 73.20110700_S3M.18_contig_1040
PMWN	Acidimicrobiaceae bacterium isolate bog_534 73.20110700_S2M.6_contig_10142
PMWO	Acidobacteriaceae bacterium isolate bog_165 73.20110700_S2M.7_contig_1007
PMWM	Acidimicrobiaceae bacterium isolate bog_533 73.20110700_S2M.4_contig_1018
PMWK	Acidobacteriaceae bacterium isolate bog_164 73.20110700_S2M.35_contig_10006
PMWL	Actinobacteria bacterium isolate bog_532 73.20110700_S2M.39_contig_100043
PMWJ	Solibacterales bacterium isolate bog_163 73.20110700_S2M.30_contig_10025
PMWI	Acetobacteraceae bacterium isolate bog_886 73.20110700_S2M.27_contig_102121
PMWG	Acidimicrobiaceae bacterium isolate bog_531 73.20110700_S2M.17_contig_1021
PMWF	Acidimicrobiaceae bacterium isolate bog_530 73.20110700_S2M.16_contig_10221
PMWE	Euryarchaeota archaeon isolate bog_23 73.20110700_S2M.14_contig_10504
PMWD	Verrucomicrobia subdivision 3 bacterium isolate bog_1387 73.20110700_S2M.11_contig_10141
PMWC	Peptococcaceae bacterium isolate bog_1186 73.20110700_S2D.61_contig_10144
PMWA	Methanobacterium sp. isolate bog_22 73.20110700_S2D.54_contig_11151
PMWB	Acidimicrobiaceae bacterium isolate bog_529 73.20110700_S2D.6_contig_100273
PMVZ	Acidimicrobiaceae bacterium isolate bog_528 73.20110700_S2D.47_contig_10027
PMVY	Acidobacteriaceae bacterium isolate bog_161 73.20110700_S2D.46_contig_107
PMVW	Acidobacteriaceae bacterium isolate bog_160 73.20110700_S2D.39_contig_10120
PMVX	Verrucomicrobiales bacterium isolate bog_1386 73.20110700_S2D.44_contig_101253
PMVT	Acidimicrobiaceae bacterium isolate bog_527 73.20110700_S2D.3_contig_1151
PMVV	Solibacterales bacterium isolate bog_159 73.20110700_S2D.32_contig_10229
PMVU	Acidimicrobiaceae bacterium isolate bog_526 73.20110700_S2D.31_contig_10033
PMVS	Syntrophaceae bacterium isolate bog_1093 73.20110700_S2D.29_contig_10183
PMVQ	Acidobacteriaceae bacterium isolate bog_157 73.20110700_S2D.20_contig_1001
PMVP	Acidimicrobiaceae bacterium isolate bog_525 73.20110700_S2D.19_contig_10025
PMVK	Solibacterales bacterium isolate bog_155 73.20110700_S1M.5_contig_10
PMVI	Mycobacterium sp. isolate bog_520 73.20110700_S1M.29_contig_10000
PMVH	Acidimicrobiaceae bacterium isolate bog_519 73.20110700_S1M.28_contig_100340
PMVG	Acidimicrobiaceae bacterium isolate bog_521 73.20110700_S1M.2_contig_1
PMVF	Acidimicrobiaceae bacterium isolate bog_518 73.20110700_S1M.14_contig_1023
PMVE	Acidobacteriaceae bacterium isolate bog_153 73.20110700_S1M.11_contig_1039
PMVC	Acidobacteriaceae bacterium isolate bog_151 73.20110700_S1D.5_contig_1001
PMVB	Acidimicrobiaceae bacterium isolate bog_517 73.20110700_S1D.4_contig_1
